stockCode
BINHO
AVOD
ALGYO
ALKIM
ALKA
ALTNY
ALKLC
AYCES
ALVES
ANSGR
ANHYT
ASUZU
ANGEN
ANELE
ARCLK
ARDYZ
ARENA
ARFYE
ARMGD
ARSAN
ARTMS
ARZUM
ASGYO
ASELS
ASTOR
ATAGY
ATAKP
ATATR
ATATP
AVGYO
AVTUR
AVPGY
AVHOL
AYDEM
AYEN
AYGAZ
AZTEK
BAGFS
BAHKM
BAKAB
BALSU
BNTAS
BANVT
BASGZ
BTCIM
BSOKE
BEGYO
BYDNR
BAYRK
BERA
BRKSN
BESLR
BESTE
BJKAS
BETAE
BEYAZ
BIENY
BIGTK
BLCYT
BIMAS
BINBN
BIOEN
BRKVY
BIGEN
BRLSM
BIZIM
BLUME
BMSTL
BMSCH
BOBET
BORLS
BORSK
BRSAN
BRYAT
BFREN
BOSSA
BRISA
BULGS
BURCE
BURVA
BUCIM
BVSAN
BIGCH
CRFSA
CEMZY
CEOEM
CCOLA
CONSE
COSMO
CRDFA
CVKMD
CWENE
CGCAM
CANTE
CATES
CLEBI
CELHA
CEMAS
CEMTS
CMBTN
CIMSA
CITAS
CUSAN
DAGI
DAPGM
DARDL
DGATE
DCTTR
DMSAS
DENGE
DZGYO
DERIM
DERHL
DESA
DESPC
DSTKF
DEVA
DNISI
DITAS
DMRGD
DOCO
DOFER
DOFRB
DGNMO
DOHOL
ARASE
DOGUB
DGGYO
DOAS
DOKTA
DURDO
DURKN
DUNYH
DYOBY
EBEBK
ECOGR
ECZYT
EDATA
EDIP
EFOR
EGEEN
EGGUB
EGPRO
EGEGY
ECILC
KIMMR
GSRAY
GWIND
GLCVY
GZNMI
GIPTA
GMTAS
GESAN
GLBMD
GLYHO
GOLDA
GOODY
GOKNR
GOLTS
GOZDE
GRTHO
GSDDE
GSDHO
GUBRF
GLRMK
GLRYH
GUNDG
GRSEL
SAHOL
HLGYO
HRKET
HATEK
HATSN
HDFGS
HEDEF
HEKTS
HKTM
HTTBT
HOROZ
HUBVC
HUNER
HURGZ
ICBCT
ICUGS
INGRM
INVEO
INVES
IEYHO
ISKPL
IDGYO
IHEVA
IHLGM
IHGZT
IHAAS
IHLAS
IHYAY
IMASM
INDES
INFO
INTEM
ISDMR
ISVEA
ISSEN
ISFIN
ISGYO
ISGSY
ISMEN
IZENR
IZMDC
IZFAS
IZINV
JANTS
KFEIN
KLKIM
KLSER
KLYPV
KPEKS
KAPLM
KARCL
KRDMA
KRDMB
KRDMD
KAREL
KARSN
KRTEK
KARTN
KTLEV
KATMR
KAYSE
KRVGD
KZBGY
KLGYO
KLRHO
KMPUR
KLMSN
KCAER
KCHOL
KOCMT
KLSYN
KNFRT
KONYA
KONKA
KGYO
KORDS
KRPLS
KOTON
KOPOL
KRGYO
KRSTL
KRONT
KUVVA
KUYAS
KBORU
KZGYO
KUTPO
KTSKR
LIDER
LIDFA
LILAK
LMKDC
LINK
LOGO
LKMNH
LRSHO
LXGYO
LUKSK
LYDHO
LYDYE
MACKO
MAKIM
MAKTK
MANAS
MAGEN
MARMR
MAALT
MARTI
EGEPO
OSTIM
OTKAR
OTTO
OYAKC
OYYAT
OYLUM
OZKGY
OZATD
OZGYO
OZRDN
OZSUB
OZYSR
PAMEL
PNLSN
PAGYO
PAPIL
PRDGS
PRKME
PARSN
PASEU
PSGYO
PAHOL
PATEK
PCILT
PGSUS
PEKGY
PENGD
PENTA
PSDTC
PETKM
PKENT
PETUN
PINSU
PNSUT
PKART
PLTUR
POLHO
POLTK
PRZMA
QUAGR
QUICK
RNPOL
RALYH
RAYSG
REEDR
RYGYO
RYSAS
RODRG
RGYAS
RTALB
RUBNS
RUZYE
SSAAT
SAFKR
SANEL
SNICA
SANFM
SANKO
SAMAT
SARKY
SASA
SAYAS
SDTTR
SEGMN
SEKUR
SELEC
SELVA
SERNT
SRVGY
SEYKM
SILVR
SNGYO
SKYLP
SMRTG
SMART
SOHOE
SOKE
SKTAS
SONME
SUNTK
SMRVA
SARAE
SKBNK
SEKFK
SEGYO
SKYMD
SOKM
MARBL
VEYAS
HALKB
ISATR
ISBTR
ISCTR
SISE
VAKBN
PRKAB
ULUFA
ULUSE
ULUUN
MARKA
USAK
UNLU
VAKFA
VAKFN
VKGYO
VAKKO
VANGD
VBTYZ
VRGYO
VERUS
VERTU
VESBE
VESTL
VKING
VSNMD
YKBNK
YAPRK
YATAS
YYLGD
YAYLA
YGGYO
YEOTK
YESIL
YIGIT
YKSLN
YUNSA
ZEDUR
ZERGY
ZGYO
ZRGYO
ZOREN
